id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,health_culture,health_team_play,health_technical,challenge,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,161.85,33.56,87.4,88.39,100.0,100.0,91.67,8.0,95.92,-4.08,44,998
690c133a,156.22,34.44,91.45,89.55,83.33,83.33,58.33,7.0,97.44,1.83,37,951
dcf14075,658.33,29.33,88.75,87.75,81.48,83.33,98.15,2.5714285714285716,87.11,-6.32,37,1247
f7ba1065,127.54,31.11,83.01,85.51,75.0,50.0,66.67,6.0,96.53,2.42,41,981
85eb0e18,175.23,32.94,87.89,88.78,100.0,100.0,91.67,7.0,95.33,-1.0,43,1023
45664623,193.2,34.44,91.71,89.16,83.33,83.33,83.33,6.0,93.83,-4.33,33,1014
89ffaeb3,94.15,35.14,78.75,81.42,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,93.38,6.13,28,973
75dbe257,798.95,36.0,93.17,91.1,94.44,94.44,97.22,4.0,91.98,0.06,47,1249
45a99283,185.82,35.33,91.46,92.18,91.67,91.67,91.67,8.0,95.7,1.9,40,984
936e3168,206.7,34.44,91.2,91.53,100.0,100.0,83.33,6.5,96.47,-0.03,49,1023
cbcff678,146.57,31.22,90.44,87.93,83.33,83.33,50.0,6.5,95.78,-2.33,42,992
29f423c4,195.11,34.33,93.34,92.88,91.67,91.67,91.67,6.5,95.33,3.83,49,1008
b6aa9c94,159.77,33.33,84.57,88.12,100.0,100.0,91.67,8.91,95.75,-3.08,43,1011
070b3063,273.9,44.6,78.97,82.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,91.5,4.1,28,1191
4a6f36f6,198.96,35.0,88.25,88.08,91.67,83.33,83.33,6.5,95.78,-1.95,37,999
adda47cf,149.29,34.33,89.88,86.84,83.33,91.67,66.67,7.0,92.75,7.25,31,970
90945a45,171.6,32.56,89.98,87.2,75.0,66.67,75.0,7.5,93.5,-4.5,36,1004
9ae522cc,186.46,32.44,90.94,89.13,91.67,83.33,75.0,6.5,97.64,-1.7,30,1019
a4b6116a,22.78,40.0,89.28,90.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
4d87f1c5,131.31,33.56,84.22,84.76,83.33,75.0,58.33,7.0,95.83,2.83,36,973
